latitude,longitude,beam_radius,color,user,sat_radius
26.56586873038269,128.14257998084952,3.0,2,0,0.307496903260474
26.603318477573367,128.07011155542085,3.0,2,0,0.307496903260474
26.603318477573367,128.11842383903996,3.0,3,0,0.307496903260474
26.603318477573367,128.16673612265913,3.0,1,0,0.307496903260474
26.603318477573367,128.21504840627824,3.0,2,0,0.307496903260474
26.640768224764045,128.04595541361124,3.0,3,0,0.307496903260474
26.640768224764045,128.0942676972304,3.0,1,0,0.307496903260474
26.640768224764045,128.14257998084952,3.0,2,1598,0.307496903260474
26.640768224764045,128.1908922644687,3.0,3,0,0.307496903260474
26.640768224764045,128.2392045480878,3.0,1,0,0.307496903260474
26.678217971954723,128.02179927180168,3.0,1,0,0.307496903260474
26.678217971954723,128.07011155542085,3.0,2,0,0.307496903260474
26.678217971954723,128.11842383903996,3.0,3,1546,0.307496903260474
26.678217971954723,128.16673612265913,3.0,1,0,0.307496903260474
26.678217971954723,128.21504840627824,3.0,2,0,0.307496903260474
26.678217971954723,128.2633606898974,3.0,3,0,0.307496903260474
26.7156677191454,128.04595541361124,3.0,3,0,0.307496903260474
26.7156677191454,128.0942676972304,3.0,1,0,0.307496903260474
26.7156677191454,128.14257998084952,3.0,2,1546,0.307496903260474
26.7156677191454,128.1908922644687,3.0,3,0,0.307496903260474
26.7156677191454,128.2392045480878,3.0,1,0,0.307496903260474
26.7156677191454,128.28751683170697,3.0,2,0,0.307496903260474
26.7156677191454,128.33582911532608,3.0,3,0,0.307496903260474
26.75311746633608,128.16673612265913,3.0,1,4517,0.307496903260474
26.75311746633608,128.21504840627824,3.0,2,0,0.307496903260474
26.75311746633608,128.2633606898974,3.0,3,0,0.307496903260474
26.75311746633608,128.31167297351652,3.0,1,0,0.307496903260474
26.75311746633608,128.3599852571357,3.0,2,0,0.307496903260474
26.790567213526757,128.1908922644687,3.0,3,0,0.307496903260474
26.790567213526757,128.2392045480878,3.0,1,0,0.307496903260474
26.790567213526757,128.28751683170697,3.0,2,0,0.307496903260474
26.790567213526757,128.33582911532608,3.0,3,0,0.307496903260474
26.828016960717434,128.21504840627824,3.0,2,0,0.307496903260474
26.828016960717434,128.2633606898974,3.0,3,0,0.307496903260474
