latitude,longitude,beam_radius,color,user,sat_radius
26.097100072753953,127.8748494091268,10.0,1,0,0.09874567867437234
26.253140686048447,127.57289763650718,10.0,1,0,0.09874567867437234
26.253140686048447,127.7741988182536,10.0,3,566056,0.09874567867437234
26.253140686048447,127.97550000000001,10.0,2,0,0.09874567867437234
26.40918129934294,127.67354822738038,10.0,2,54727,0.09874567867437234
26.40918129934294,127.8748494091268,10.0,1,136109,0.09874567867437234
26.40918129934294,128.07615059087323,10.0,3,0,0.09874567867437234
26.565221912637433,127.7741988182536,10.0,3,0,0.09874567867437234
26.565221912637433,127.97550000000001,10.0,2,69387,0.09874567867437234
26.565221912637433,128.17680118174644,10.0,1,1598,0.09874567867437234
26.721262525931927,127.67354822738038,10.0,2,0,0.09874567867437234
26.721262525931927,127.8748494091268,10.0,1,16648,0.09874567867437234
26.721262525931927,128.07615059087323,10.0,3,3092,0.09874567867437234
26.721262525931927,128.27745177261966,10.0,2,0,0.09874567867437234
26.87730313922642,127.97550000000001,10.0,2,1322,0.09874567867437234
26.87730313922642,128.17680118174644,10.0,1,0,0.09874567867437234
