自治体,人口,経度,緯度
別海町,14380,145.117341,43.39399
中標津町,23010,144.971504,43.555191
標津町,5023,145.131325,43.661309
羅臼町,4722,145.189532,44.021953
青森市,275192,140.746957,40.82264
弘前市,168466,140.464008,40.602965
八戸市,223415,141.488404,40.512278
黒石市,31946,140.594547,40.642608
五所川原市,51415,140.446118,40.807835
十和田市,60378,141.20591,40.612703
三沢市,39152,141.369093,40.683078
むつ市,54103,141.183174,41.292835
つがる市,30934,140.380195,40.808836
平川市,30567,140.567123,40.583742
平内町,10126,140.955884,40.926023
今別町,2334,140.48161,41.181875
蓬田村,2540,140.656053,40.971779
外ヶ浜町,5401,140.632243,41.043159
鰺ヶ沢町,9044,140.233912,40.783011
深浦町,7346,139.927431,40.647876
西目屋村,1265,140.297171,40.577437
藤崎町,14573,140.502824,40.656064
大鰐町,8665,140.567878,40.518356
田舎館村,7326,140.550198,40.631259
板柳町,12700,140.4577,40.695954
鶴田町,12074,140.428702,40.758819
中泊町,9657,140.434122,40.960427
野辺地町,12374,141.128685,40.864447
七戸町,14556,141.157991,40.744714
六戸町,10447,141.324958,40.609526
横浜町,4229,141.247782,41.083155
東北町,16428,141.257888,40.727871
六ヶ所村,10367,141.374434,40.967375
おいらせ町,24273,141.397822,40.599104
大間町,4718,140.90483,41.522388
東通村,5955,141.3289,41.277726
風間浦村,1636,140.995534,41.487487
佐井村,1788,140.859175,41.429718
三戸町,9082,141.25874,40.378423
五戸町,16042,141.307813,40.531208
田子町,4968,141.15215,40.34003
南部町,16809,141.330307,40.420343
階上町,13496,141.621001,40.452454
新郷村,2197,141.1734,40.465784
盛岡市,289731,141.154183,39.701795
宮古市,50369,141.946115,39.639554
大船渡市,34728,141.708547,39.081901
花巻市,93193,141.116854,39.388609
北上市,93045,141.113157,39.286817
久慈市,33043,141.775644,40.190466
遠野市,25366,141.532352,39.331014
一関市,111932,141.126759,38.934754
陸前高田市,18262,141.633321,39.020413
釜石市,32078,141.885716,39.27581
二戸市,25513,141.304805,40.271193
八幡平市,24023,141.07112,39.956511
奥州市,112937,141.139116,39.144506
滝沢市,55579,141.077065,39.734739
雫石町,15731,140.975779,39.696319
葛巻町,5634,141.438203,40.040086
岩手町,12285,141.212166,39.972768
紫波町,32147,141.155796,39.554536
矢巾町,28056,141.143001,39.606006
西和賀町,5134,140.778754,39.317906
金ケ崎町,15535,141.116408,39.195687
平泉町,7252,141.11398,38.986781
住田町,5045,141.575052,39.142209
大槌町,11004,141.899731,39.358196
山田町,14320,141.948923,39.467619
岩泉町,8726,141.796675,39.843204
田野畑村,3059,141.888864,39.930454
普代村,2487,141.886014,40.005164
軽米町,8421,141.460349,40.326678
野田村,3936,141.817674,40.110272
九戸村,5378,141.418982,40.211356
洋野町,15091,141.71865,40.408298
一戸町,11494,141.29546,40.212733
仙台市,1096704,140.869617,38.268008
石巻市,140151,141.302906,38.434457
塩竈市,52203,141.02203,38.31436
気仙沼市,61147,141.570044,38.908127
白石市,32758,140.619888,38.002467
名取市,78718,140.891849,38.171501
角田市,27976,140.781543,37.977016
多賀城市,62827,141.004369,38.293803
岩沼市,44068,140.869949,38.104303
登米市,76037,141.18772,38.691856
栗原市,64637,141.021508,38.730062
東松島市,39098,141.210278,38.426134
大崎市,127330,140.955565,38.577132
富谷市,51651,140.895485,38.399918
蔵王町,11418,140.65868,38.098128
七ケ宿町,1262,140.441615,37.993063
大河原町,23571,140.730774,38.049412
村田町,10666,140.722404,38.118589
柴田町,38271,140.765798,38.056599
川崎町,8345,140.643188,38.177751
丸森町,12262,140.765365,37.911536
亘理町,33087,140.867924,38.044263
山元町,12046,140.878052,37.962706
松島町,13323,141.067291,38.380149
